time,open,high,low,close,volume
2026-02-25 09:20:00+00:00,602.2,602.35,601.44,601.47,352.528
2026-02-25 09:25:00+00:00,601.47,602.11,600.84,601.3,665.219
2026-02-25 09:30:00+00:00,601.3,601.4,600.34,600.67,375.753
2026-02-25 09:35:00+00:00,600.68,600.77,600.21,600.37,222.739
2026-02-25 09:40:00+00:00,600.36,600.81,600.17,600.52,225.703
2026-02-25 09:45:00+00:00,600.52,601.46,600.52,601.43,140.067
2026-02-25 09:50:00+00:00,601.43,602.3,601.37,602.29,306.946
2026-02-25 09:55:00+00:00,602.29,603.37,602.21,603.08,572.952
2026-02-25 10:00:00+00:00,603.09,603.91,602.29,602.53,471.326
2026-02-25 10:05:00+00:00,602.53,602.82,601.91,602.22,234.384
2026-02-25 10:10:00+00:00,602.22,602.88,601.92,602.7,467.479
2026-02-25 10:15:00+00:00,602.7,603.75,601.8,601.94,632.528
2026-02-25 10:20:00+00:00,601.93,601.93,601.43,601.43,158.807
2026-02-25 10:25:00+00:00,601.43,601.63,600.6,601.52,764.324
2026-02-25 10:30:00+00:00,601.53,601.68,601.27,601.66,270.355
2026-02-25 10:35:00+00:00,601.66,602.46,601.65,601.87,372.703
2026-02-25 10:40:00+00:00,601.87,602.45,601.72,602.39,117.708
2026-02-25 10:45:00+00:00,602.39,603.42,602.2,603.02,361.381
2026-02-25 10:50:00+00:00,603.02,603.36,602.64,602.65,144.295
2026-02-25 10:55:00+00:00,602.64,602.8,602.25,602.8,354.972
2026-02-25 11:00:00+00:00,602.8,603.18,602.51,602.84,439.675
2026-02-25 11:05:00+00:00,602.84,603.36,601.88,602.85,523.689
2026-02-25 11:10:00+00:00,602.84,603.44,602.62,602.62,248.366
2026-02-25 11:15:00+00:00,602.6,603.15,602.34,602.74,368.762
2026-02-25 11:20:00+00:00,602.74,605.0,602.72,604.55,553.397
2026-02-25 11:25:00+00:00,604.55,605.26,604.31,604.31,484.382
2026-02-25 11:30:00+00:00,604.31,604.49,603.79,604.18,420.222
2026-02-25 11:35:00+00:00,604.19,604.83,604.1,604.68,348.785
2026-02-25 11:40:00+00:00,604.68,604.97,604.18,604.46,245.767
2026-02-25 11:45:00+00:00,604.46,604.46,603.95,603.96,221.112
2026-02-25 11:50:00+00:00,603.96,604.63,603.63,604.51,452.279
2026-02-25 11:55:00+00:00,604.5,605.43,604.41,604.99,403.194
2026-02-25 12:00:00+00:00,605.0,605.94,604.71,604.86,491.848
2026-02-25 12:05:00+00:00,604.87,605.9,604.58,605.89,526.959
2026-02-25 12:10:00+00:00,605.9,606.7,605.73,606.56,576.417
2026-02-25 12:15:00+00:00,606.56,608.16,606.29,607.89,1350.356
2026-02-25 12:20:00+00:00,607.9,609.41,607.89,608.51,947.154
2026-02-25 12:25:00+00:00,608.51,609.12,608.0,608.77,480.181
2026-02-25 12:30:00+00:00,608.77,609.87,608.6,609.13,602.618
2026-02-25 12:35:00+00:00,609.14,610.28,609.0,609.05,755.873
2026-02-25 12:40:00+00:00,609.05,609.77,608.72,609.62,379.317
2026-02-25 12:45:00+00:00,609.61,610.9,609.17,610.9,853.716
2026-02-25 12:50:00+00:00,610.89,612.42,610.69,611.3,1830.163
2026-02-25 12:55:00+00:00,611.29,611.4,610.35,610.98,447.88
2026-02-25 13:00:00+00:00,610.98,613.66,610.98,612.48,2062.601
2026-02-25 13:05:00+00:00,612.48,613.53,611.97,612.22,716.267
2026-02-25 13:10:00+00:00,612.22,612.7,612.15,612.42,421.919
2026-02-25 13:15:00+00:00,612.41,613.5,612.27,612.8,572.031
2026-02-25 13:20:00+00:00,612.81,613.8,612.18,613.23,536.655
2026-02-25 13:25:00+00:00,613.22,614.73,613.2,613.57,1544.529
2026-02-25 13:30:00+00:00,613.57,613.83,613.0,613.47,511.753
2026-02-25 13:35:00+00:00,613.47,614.35,613.42,613.96,728.823
2026-02-25 13:40:00+00:00,613.96,615.22,613.84,614.04,1124.362
2026-02-25 13:45:00+00:00,614.05,616.47,614.04,616.23,1412.254
2026-02-25 13:50:00+00:00,616.23,616.23,613.58,614.35,1345.74
2026-02-25 13:55:00+00:00,614.34,614.67,613.82,614.18,649.937
2026-02-25 14:00:00+00:00,614.18,614.85,613.97,614.51,502.423
2026-02-25 14:05:00+00:00,614.52,615.36,614.29,614.65,630.617
2026-02-25 14:10:00+00:00,614.65,614.91,613.95,614.17,787.463
2026-02-25 14:15:00+00:00,614.16,614.71,613.3,613.66,1131.028
2026-02-25 14:20:00+00:00,613.67,614.59,613.33,614.12,1145.67
2026-02-25 14:25:00+00:00,614.12,614.99,613.95,614.26,753.39
2026-02-25 14:30:00+00:00,614.25,615.77,613.52,614.4,1874.737
2026-02-25 14:35:00+00:00,614.4,615.0,613.26,613.46,1683.971
2026-02-25 14:40:00+00:00,613.45,615.09,613.2,614.05,1280.649
2026-02-25 14:45:00+00:00,614.05,618.67,614.05,617.35,3955.832
2026-02-25 14:50:00+00:00,617.35,617.67,615.8,616.46,2090.175
2026-02-25 14:55:00+00:00,616.47,619.01,616.37,618.69,1481.53
2026-02-25 15:00:00+00:00,618.69,619.73,618.17,618.21,1545.264
2026-02-25 15:05:00+00:00,618.22,618.22,616.0,616.43,1177.004
2026-02-25 15:10:00+00:00,616.43,617.14,616.09,616.71,595.081
2026-02-25 15:15:00+00:00,616.71,618.26,616.69,617.08,685.18
2026-02-25 15:20:00+00:00,617.09,617.36,616.16,617.3,537.682
2026-02-25 15:25:00+00:00,617.31,618.85,617.16,618.28,646.038
2026-02-25 15:30:00+00:00,618.28,620.66,617.39,619.26,2034.426
2026-02-25 15:35:00+00:00,619.27,620.93,619.27,619.89,1042.235
2026-02-25 15:40:00+00:00,619.9,621.99,619.5,621.93,1728.514
2026-02-25 15:45:00+00:00,621.93,623.15,621.73,622.21,1757.288
2026-02-25 15:50:00+00:00,622.21,622.44,620.82,620.92,919.18
