time,open,high,low,close
2026-05-28 01:55:00+00:00,2020.37,2021.42,2018.91,2020.32
2026-05-28 02:00:00+00:00,2020.32,2021.99,2016.21,2017.22
2026-05-28 02:05:00+00:00,2017.23,2021.3,2017.0,2020.14
2026-05-28 02:10:00+00:00,2020.14,2021.68,2019.57,2021.08
2026-05-28 02:15:00+00:00,2021.08,2021.85,2018.69,2018.79
2026-05-28 02:20:00+00:00,2018.8,2019.5,2016.0,2017.75
2026-05-28 02:25:00+00:00,2017.76,2018.94,2016.17,2017.73
2026-05-28 02:30:00+00:00,2017.73,2019.09,2016.26,2017.72
2026-05-28 02:35:00+00:00,2017.71,2019.41,2014.77,2019.4
2026-05-28 02:40:00+00:00,2019.41,2019.96,2017.53,2018.01
2026-05-28 02:45:00+00:00,2018.01,2020.43,2017.0,2020.43
2026-05-28 02:50:00+00:00,2020.43,2020.43,2017.8,2019.56
2026-05-28 02:55:00+00:00,2019.57,2019.97,2017.12,2017.75
2026-05-28 03:00:00+00:00,2017.75,2019.02,2015.0,2018.44
2026-05-28 03:05:00+00:00,2018.45,2020.96,2016.15,2016.93
2026-05-28 03:10:00+00:00,2016.92,2017.07,2010.37,2013.96
2026-05-28 03:15:00+00:00,2013.96,2014.66,1972.0,1987.82
2026-05-28 03:20:00+00:00,1987.82,1996.0,1987.11,1996.0
2026-05-28 03:25:00+00:00,1996.0,1996.33,1987.76,1988.6
2026-05-28 03:30:00+00:00,1988.59,1993.2,1985.1,1989.59
2026-05-28 03:35:00+00:00,1989.58,1989.58,1983.26,1986.82
2026-05-28 03:40:00+00:00,1986.83,1990.36,1984.47,1984.68
2026-05-28 03:45:00+00:00,1984.68,1989.08,1984.47,1985.02
2026-05-28 03:50:00+00:00,1985.02,1986.23,1979.59,1981.19
2026-05-28 03:55:00+00:00,1981.2,1982.97,1977.47,1981.55
2026-05-28 04:00:00+00:00,1981.55,1982.72,1967.0,1979.37
2026-05-28 04:05:00+00:00,1979.38,1985.8,1976.11,1984.79
2026-05-28 04:10:00+00:00,1984.79,1986.39,1978.16,1979.22
2026-05-28 04:15:00+00:00,1979.22,1980.79,1974.76,1976.61
2026-05-28 04:20:00+00:00,1976.61,1978.34,1973.93,1975.68
2026-05-28 04:25:00+00:00,1975.67,1980.64,1974.65,1980.39
2026-05-28 04:30:00+00:00,1980.39,1983.74,1979.75,1983.49
2026-05-28 04:35:00+00:00,1983.49,1985.38,1979.33,1981.29
2026-05-28 04:40:00+00:00,1981.29,1983.8,1981.29,1982.68
2026-05-28 04:45:00+00:00,1982.68,1982.68,1979.88,1980.68
2026-05-28 04:50:00+00:00,1980.67,1981.78,1979.03,1980.92
2026-05-28 04:55:00+00:00,1980.92,1982.48,1980.92,1982.33
2026-05-28 05:00:00+00:00,1982.33,1983.55,1981.18,1981.6
2026-05-28 05:05:00+00:00,1981.59,1981.59,1979.13,1979.82
2026-05-28 05:10:00+00:00,1979.82,1981.18,1979.06,1980.0
2026-05-28 05:15:00+00:00,1980.01,1980.47,1976.27,1978.01
2026-05-28 05:20:00+00:00,1978.01,1979.13,1975.78,1979.08
2026-05-28 05:25:00+00:00,1979.07,1979.1,1975.91,1975.92
2026-05-28 05:30:00+00:00,1975.92,1979.48,1975.66,1978.65
2026-05-28 05:35:00+00:00,1978.65,1980.13,1976.87,1980.06
2026-05-28 05:40:00+00:00,1980.06,1980.88,1979.51,1980.09
2026-05-28 05:45:00+00:00,1980.1,1980.83,1975.72,1977.76
2026-05-28 05:50:00+00:00,1977.77,1979.49,1977.43,1979.44
2026-05-28 05:55:00+00:00,1979.43,1979.43,1977.72,1978.52
2026-05-28 06:00:00+00:00,1978.52,1979.52,1977.75,1979.15
2026-05-28 06:05:00+00:00,1979.15,1979.9,1977.5,1978.05
2026-05-28 06:10:00+00:00,1978.05,1980.0,1977.9,1979.28
2026-05-28 06:15:00+00:00,1979.27,1980.3,1978.57,1979.85
2026-05-28 06:20:00+00:00,1979.85,1981.0,1977.5,1978.31
2026-05-28 06:25:00+00:00,1978.3,1978.3,1976.0,1977.87
2026-05-28 06:30:00+00:00,1977.87,1978.27,1974.85,1976.6
2026-05-28 06:35:00+00:00,1976.6,1976.6,1972.5,1975.91
2026-05-28 06:40:00+00:00,1975.9,1976.49,1973.26,1976.44
2026-05-28 06:45:00+00:00,1976.44,1983.72,1976.43,1982.4
